"LeadDate","LeadCount"
"29/12/2022",57
"30/12/2022",34
"31/12/2022",21
"01/01/2023",16
"02/01/2023",43
"03/01/2023",67
"04/01/2023",87
"05/01/2023",53
"06/01/2023",45
"07/01/2023",36
"08/01/2023",29
"09/01/2023",54
"10/01/2023",51
"11/01/2023",60
"12/01/2023",65
"13/01/2023",63
"14/01/2023",36
"15/01/2023",38
"16/01/2023",58
"17/01/2023",59
"18/01/2023",52
"19/01/2023",44
"20/01/2023",50
"21/01/2023",27
"22/01/2023",33
"23/01/2023",74
"24/01/2023",66
"25/01/2023",52
"26/01/2023",64
"27/01/2023",52
"28/01/2023",34
"29/01/2023",31
"30/01/2023",53
"31/01/2023",55
"01/02/2023",60
"02/02/2023",57
"03/02/2023",58
"04/02/2023",38
"05/02/2023",19
"06/02/2023",56
"07/02/2023",50
"08/02/2023",45
"09/02/2023",50
"10/02/2023",53
"11/02/2023",38
"12/02/2023",35
"13/02/2023",75
"14/02/2023",67
"15/02/2023",46
"16/02/2023",56
"17/02/2023",44
"18/02/2023",21
"19/02/2023",30
"20/02/2023",43
"21/02/2023",24
"22/02/2023",48
"23/02/2023",74
"24/02/2023",76
"25/02/2023",41
"26/02/2023",28
"27/02/2023",74
"28/02/2023",43
"01/03/2023",33
"02/03/2023",62
"03/03/2023",57
"04/03/2023",42
"05/03/2023",34
"06/03/2023",55
"07/03/2023",65
"08/03/2023",56
"09/03/2023",67
"10/03/2023",43
"11/03/2023",35
"12/03/2023",38
"13/03/2023",62
"14/03/2023",64
"15/03/2023",60
"16/03/2023",86
"17/03/2023",56
"18/03/2023",42
"19/03/2023",32
"20/03/2023",94
"21/03/2023",77
"22/03/2023",57
"23/03/2023",76
"24/03/2023",59
"25/03/2023",42
"26/03/2023",40
"27/03/2023",72
"28/03/2023",74
"29/03/2023",78
"30/03/2023",75
"31/03/2023",57
